pro_id	gene_id	pro_name	gene_name
A0A0K0K1C4	ENSG00000282234	TVB27	TRBV27
A0A0K0K1C4	ENSG00000211752	TVB27	TRBV27
A0A0K0K1D8	ENSG00000281970	TVB61	TRBV6-1
A0A0K0K1D8	ENSG00000211706	TVB61	TRBV6-1
A0A0K0K1E9	ENSG00000282179	TVB77	TRBV7-7
A0A0K0K1E9	ENSG00000253291	TVB77	TRBV7-7
A0A0K0K1G6	ENSG00000282340	TVBJ3	TRBV10-3
A0A0K0K1G6	ENSG00000275791	TVBJ3	TRBV10-3
A0A0K0K1G8	ENSG00000282007	TVBJ2	TRBV10-2
A0A0K0K1G8	ENSG00000229769	TVBJ2	TRBV10-2
A0A0K2S4Q6	ENSG00000284690	CD3CH	CD300H
A0A0K2S4Q6-2	ENSG_CD300H	CD3CH	CD300H
A0A0U1RQE8	ENSG00000255151	GLYLB	GLYATL1B
A0A0U1RQF7	ENSG00000263201	DP2NB	DPEP2NB
A0A0U1RQG5	ENSG00000277535	CT47C	CT47C1
A0A0U1RQI7	ENSG00000283039	KLF18	KLF18
A0A0U1RQS6	ENSG00000282881	TM275	TMEM275
A0A0U1RR11	ENSG00000223591	CENL1	CENPVL1
A0A0U1RR37	ENSG00000282872	CA232	C1orf232
A0A0U1RRA0	ENSG00000236782	ZNOS	ZNF593OS
A0A0U1RRE5	ENSG00000204272	NBDY	NBDY
A0A0U1RRI6	ENSG00000224109	CENL3	CENPVL3
A0A0U1RRK4	ENSG00000283071	LBHD2	LBHD2
A0A0U1RRL7	ENSG00000126005	MMPOS	MMP24OS
A0A0U1RRN3	ENSG00000247595	MISFA	MISFA
A0A0U1RRN3-2	ENSG_MISFA	MISFA	MISFA
A0A0X1KG70	ENSG00000182974	ORM2B	OR4M2B
A0A183	ENSG00000235942	LCE6A	LCE6A
A0A1B0GTB2	ENSG00000250366	TUNAR	TUNAR
A0A1B0GTC6	ENSG00000241224	CC085	C3orf85
A0A1B0GTD5	ENSG00000257987	TEX49	TEX49
A0A1B0GTH6	ENSG00000283434	CS2IP	CSNKA2IP
A0A1B0GTI1	ENSG00000283247	CC201	CCDC201
A0A1B0GTI8	ENSG00000281106	TM272	TMEM272
A0A1B0GTI8-2	ENSG_TMEM272	TM272	TMEM272
A0A1B0GTK4	ENSG00000235118	F237A	FAM237A
A0A1B0GTK5	ENSG00000225396	F236D	FAM236D
A0A1B0GTL2	ENSG00000196421	CT204	C20orf204
A0A1B0GTQ4	ENSG00000262179	MYMX	MYMX
A0A1B0GTR0	ENSG00000267710	EDD13	EDDM13
A0A1B0GTR3	ENSG00000224440	CX05A	CXorf51A
A0A1B0GTR4	ENSG00000283227	SPRR5	SPRR5
A0A1B0GTS1	ENSG00000283463	HSFX4	HSFX4
A0A1B0GTU1	ENSG00000215817	ZC11B	ZC3H11B
A0A1B0GTU2	ENSG00000259417	CTXD1	CTXND1
A0A1B0GTW7	ENSG00000283654	CIROP	CIROP
A0A1B0GTW7-2	ENSG_CIROP	CIROP	CIROP
A0A1B0GTW7-3	ENSG_CIROP	CIROP	CIROP
A0A1B0GTY4	ENSG00000232113	TEX50	TEX50
A0A1B0GTZ2	ENSG00000196553	CC196	CCDC196
A0A1B0GU29	ENSG00000262543	SIM28	SMIM28
A0A1B0GU33	ENSG00000230054	TEX53	TEX53
A0A1B0GU71	ENSG00000283361	C97D2	CFAP97D2
A0A1B0GUA5	ENSG00000271824	SIM32	SMIM32
A0A1B0GUA6	ENSG00000283428	CC195	CCDC195
A0A1B0GUA7	ENSG00000237524	TEX51	TEX51
A0A1B0GUA9	ENSG00000283302	CM046	C13orf46
A0A1B0GUA9	ENSG00000283199	CM046	C13orf46
A0A1B0GUC4	ENSG00000283683	MYCOS	MYOCOS
A0A1B0GUI7	ENSG00000235106	BRDOS	BRD3OS
A0A1B0GUJ8	ENSG00000277531	PNM8C	PNMA8C
A0A1B0GUQ0	ENSG00000275520	F236A	FAM236A
