Sample_ID,Sex,Age,Gene_name,PRM,DIA
NCN008,female,43,COL1A1,101326.9688,50792.58984
NCN008,female,43,KRT6A,4449.274414,35559.48828
NCN008,female,43,APOC1,2380.18457,571.8139648
NCN008,female,43,GBA1,229.5464935,128.8656006
NCN008,female,43,APOB,5299.215332,2345.536133
NCN008,female,43,KRT6B,2587.814453,13653.39551
NCN008,female,43,ARG1,420.8505554,89.01105499
NCN008,female,43,ALDH2,2558.01123,1113.279907
NCN008,female,43,POLB,3.812470913,38.15452576
NCN008,female,43,IVL,26.47097397,71.89729309
NCN008,female,43,RPSA,1890.778687,1259.697266
NCN008,female,43,LGALS1,9271.933594,2897.251953
NCN008,female,43,GSTM1,348.2686768,52.47345352
NCN008,female,43,GAA,308.9145813,195.9576416
NCN008,female,43,RALB,240.5809631,303.6903992
NCN008,female,43,COL6A3,78184.21875,25336.29688
NCN008,female,43,NQO1,80.86981201,39.99478912
NCN008,female,43,DSP,12958.62207,5023.953613
NCN008,female,43,FLNA,5342.133301,7998.765137
NCN008,female,43,TNXB,4053.532959,2756.120361
NCN008,female,43,FDXR,322.9255066,115.903595
NCN008,female,43,PSMB9,343.4164429,71.78888702
NCN008,female,43,ATIC,445.2254333,339.6937256
NCN008,female,43,YWHAB,3343.011719,7103.910156
NCN008,female,43,PRDX2,3870.496094,1925.251953
NCN008,female,43,FBN1,6011.310059,5151.413574
NCN008,female,43,TIMP3,232.9191589,100.8054581
NCN008,female,43,GPX4,578.3444214,508.8368225
NCN008,female,43,TSFM,218.0561829,144.6949005
NCN008,female,43,ACADSB,63.37413025,89.491539
NCN008,female,43,GSTM5,93.21816254,652.4576416
NCN008,female,43,LGALS7B,25329.36914,16484.16797
NCN008,female,43,LGALS7,25329.36914,16484.16797
NCN008,female,43,SERPINB8,269.3973694,295.1795044
NCN008,female,43,EPPK1,842.7424316,2129.185791
NCN008,female,43,S100A10,14141.64258,10847.95703
NCN008,female,43,RPS8,1675.75708,1696.424194
NCN008,female,43,RPS27A,225.197403,6262.632813
NCN008,female,43,TUBB4B,1614.633179,12504.90234
NCN008,female,43,HBB,214976.4063,48262.55078
NCN008,female,43,PRKDC,270.8067932,421.2343445
NCN008,female,43,HSPG2,756.1431274,2187.133545
NCN008,female,43,SPTBN1,1139.913452,1377.508179
NCN008,female,43,AHNAK,4744.948242,3266.428955
NCN008,female,43,CNTN1,277.4199829,132.6511993
NCN008,female,43,SGCG,72.29440308,22.45477676
NCN008,female,43,STIM1,404.5952454,66.93125153
NCN008,female,43,SPTAN1,1505.904541,2465.879395
NCN008,female,43,PKP1,7046.911621,6178.428223
NCN008,female,43,DYNC1H1,670.3596802,3455.17627
NCN008,female,43,PLEC,1713.103882,3862.908691
NCN008,female,43,ELOC,142.0615387,151.4206696
NCN008,female,43,QPCT,224.2871399,103.5119095
NCN008,female,43,HSP90AB4P,87.04412079,50.72643661
NCN008,female,43,CAVIN1,2269.978027,749.197998
NCN008,female,43,PLBD1,216.6298218,135.3356628
