pro_id,intensity,tissue
P60866,25.6626746026086,lung
P60866,25.7063749663348,thyroid
O75534,24.7402243020991,colon
O75534,23.1453317101492,heart
O75534,24.4607597082263,liver
O75534,24.2735768325102,lung
O75534,23.4036767191943,thyroid
Q15386,21.8002221946258,colon
Q15386,19.7234267399378,heart
Q15386,20.2012015331558,liver
Q15386,21.1664439184618,lung
Q15386,19.6508801235613,thyroid
O00187,17.3006028106581,colon
O00187,15.1868807596922,heart
O00187,19.9222809517043,liver
O00187,18.7844001212552,lung
O00187,17.9787100161631,thyroid
Q6PHW0,17.2224576762067,colon
Q6PHW0,18.2716297736738,heart
Q6PHW0,22.8209834805025,liver
Q6PHW0,17.1087290962984,lung
Q6PHW0,25.7637990234043,thyroid
Q8TAV0,11.8721296463966,lung
Q8TAV0,15.4662722000658,thyroid
Q9Y228,13.9279882077185,liver
Q9Y228,18.4921925615503,lung
Q9Y228,16.1758665795595,thyroid
Q9UKY4,11.557288381785,thyroid
Q9NP79,22.0780420073851,colon
Q9NP79,22.5624760326733,heart
Q9NP79,24.2006333269486,liver
Q9NP79,22.0598092966985,lung
Q9NP79,21.796174931212,thyroid
Q9NP71,20.8650644888551,liver
Q9UIG0,21.7305683558012,colon
Q9UIG0,19.7402513984696,heart
Q9UIG0,21.8931820911767,liver
Q9UIG0,22.6380420036556,lung
Q9UIG0,22.9708955615141,thyroid
Q96S59,19.842342099138,colon
Q96S59,17.6283876325903,heart
Q96S59,19.3231032703096,liver
Q96S59,19.3116407961577,lung
Q96S59,17.4812439028215,thyroid
Q8N6R0,19.187159497559,colon
Q8N6R0,18.1324938321825,heart
Q8N6R0,20.1603797747846,liver
Q8N6R0,19.9612654429549,lung
Q8N6R0,18.2456691577785,thyroid
O43670,20.5615526467843,colon
O43670,19.6915530836287,heart
O43670,22.4472573813432,liver
O43670,22.213008342224,lung
O43670,22.6555643641125,thyroid
P31930,26.0731451606842,colon
P31930,28.7502521783631,heart
P31930,26.9053456667577,liver
P31930,25.7237412117487,lung
P31930,25.5900797744308,thyroid
O95772,16.5374705507594,lung
O95772,17.4045291183126,thyroid
P21926,27.6962691389577,colon
P21926,23.5216192155867,heart
P21926,23.5339834647552,liver
P21926,27.1117675454203,lung
P21926,26.2744009546498,thyroid
Q9HCP6,23.2814480394489,heart
Q15021,15.5382256644223,lung
Q9Y2I1,20.9925221720069,colon
Q9Y2I1,17.59654965173,heart
Q9Y2I1,19.6717293776373,liver
Q9Y2I1,20.3833104194138,lung
Q9Y2I1,18.602480147703,thyroid
Q9NY15,22.3868847254122,colon
Q9NY15,19.8083754496161,heart
Q9NY15,22.7285935232053,liver
Q9NY15,22.3753372269989,lung
Q9NY15,21.519404629095,thyroid
P22304,17.1737177128827,lung
P22304,17.3312360946005,thyroid
P01730,14.9042614789258,colon
P01730,19.0913778095467,liver
P01730,19.4090121797873,lung
P01730,16.3463302058574,thyroid
Q06187,16.0592824542687,colon
Q06187,13.4288415397295,heart
Q06187,18.5379729624229,liver
Q06187,21.9719517536358,lung
Q06187,15.980636703542,thyroid
Q30201,11.593529159993,colon
Q30201,11.3303829782805,heart
Q30201,17.1337008997084,liver
Q30201,15.0688834463285,lung
Q96GD3,11.758588187457,thyroid
P06241,17.9902378590003,colon
P06241,15.8500130764819,heart
P06241,16.7746216985004,liver
P06241,21.3337969187913,lung
P06241,19.1065289305813,thyroid
Q01740,17.210208866577,liver
Q01740,13.2470512367554,thyroid
Q14241,18.8672612149782,colon
Q14241,17.5568534758009,heart
Q14241,21.908577099779,liver
Q14241,21.6915708125593,lung
Q14241,20.606091378688,thyroid
O95372,20.7417538749738,colon
O95372,21.6103770844788,heart
O95372,22.1954451170777,liver
O95372,21.4284859001433,lung
O95372,21.5092146893925,thyroid
P51797,13.1946155298732,heart
P51797,10.5720923553254,liver
P51797,14.4342147943106,lung
P51797,12.9225799963347,thyroid
Q9UBG0,21.9645756987252,colon
Q9UBG0,20.218272868038,heart
Q9UBG0,19.42191182852,liver
Q9UBG0,23.734667230087,lung
Q9UBG0,20.8070498874105,thyroid
O75954,19.4603661522819,colon
O75954,18.4030768516526,heart
O75954,21.5632397112741,liver
O75954,21.8572355869478,lung
O75954,18.5288502708424,thyroid
Q9P203,16.651653758986,heart
Q9P203,16.0364079226712,thyroid
O96018,13.1456029584155,thyroid
Q8WTS1,15.1415396144413,heart
Q8WTS1,15.3094331941781,liver
P23352,18.8862332075424,lung
P23352,16.770340384605,thyroid
Q9ULX6,18.7388346871856,colon
Q9ULX6,18.5311860966671,heart
Q9ULX6,20.5189485239226,liver
Q9ULX6,20.2787877591635,lung
Q9ULX6,21.7463241824229,thyroid
Q9Y5J1,17.2210288556511,colon
Q9Y5J1,13.8713120854127,heart
Q9Y5J1,19.5831849093902,liver
Q9Y5J1,20.0065270889972,lung
Q9Y5J1,19.3084999124792,thyroid
Q9NWF9,14.65378020124,colon
Q9NWF9,16.8422773626005,liver
Q6DKK2,15.2962951644553,colon
Q6DKK2,20.9235135453562,heart
