gene_id,NC005,NC012,NC013,NC026,NC028,NC032,NC033,NC034,NC035,NC036,NC040,NC041,NC042,NC043,NC046,NC047,NC048,NC050,NC054,NC055,NC056,NC057,NC059,NC060,NC063,NC064,NC067,NC068,NC069,NC070,NC073,NC075,NC077,NC078,NC079,NC080,NC081,NC084,NC085,NC086,NC087,NC089,NC090,NC091,NC093,NC094,NC095,NC096,NC101
ENSG00000226457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091001,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115292842780749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010043550802139,0,0,0,0,0.110592423529412,0,0,0,0,0,0,0,0,0.092368686631016,0,0
ENSG00000248285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149792,6.40985349675325,7.57891243506494,6.71101076753247,6.0241160961039,4.95380373896104,2.52345855064935,1.5140445788961,3.79666350032467,6.52698018409091,7.06684113279221,3.08758358863636,7.66795893798701,5.62944866915584,5.32354152954546,6.03029809805195,4.03861214253247,2.49033643181818,6.26995636006493,2.78480349707792,6.48736146655844,8.40061626850649,8.59936570422078,11.4259944535714,5.84071158311688,6.0382020512987,7.93481366590909,4.93737857792208,4.57124920681818,4.72959422045454,6.2898567198052,4.1989527224026,8.13149129090909,7.0656865288961,5.39833905616883,4.37765482402597,5.98823971655844,6.76773645487013,5.42700862857143,8.37135442175325,7.8661356737013,7.85139291655844,7.30826897435065,8.72613350584415,6.43277907824675,3.89644507824675,4.8791229038961,8.39448318279221,6.12505339025974,5.68996598051948
ENSG00000141854,0.815351759558199,0.621029599830076,0.417455005947324,0.438386608326253,0.514649406966865,0.0821825174171623,0,0.682872598130841,0.891415245964316,0.489766006372133,0.258120857264231,1.2954727595582,0.766394014868309,0.89635341971113,0.722235260832625,0.924046494902294,0.590691758283772,1.0883725480034,0.412378626168224,1.23136999447749,1.56184376338148,1.67803829184367,0.633035570943076,1.91062541206457,1.22256139804588,1.09519382795242,0.537780224723874,0.561654018691589,0.44867532115548,0.727437446474087,0.867586802039082,0.918717063721325,0.843462558198811,1.93129807561597,1.00411956202209,1.11177269158879,0.755989413338997,0.670384865760408,1.71835257816483,1.65230733687341,1.03938941928632,1.35476338657604,1.54763437383178,0.812747061172472,0.301871033984707,1.11398714655905,0.989693756584537,0.995557550127443,0.596751497875956
ENSG00000229797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149798,1.41764347781885,0.718958940850277,1.59592435443623,0.780347543438078,0.556651727818854,1.10759152726433,0.914201624306839,0.0438228900184843,0.648787759242144,0.434469174676525,0.983321215804067,1.08269055360444,0.657972155730129,0.22774117051756,0.567724453789279,0.60481180637708,0.549046078558226,0.90567863077634,0.756786823475046,0.755166396025878,0.304382018022181,0.505773014325324,1.2289677176525,0.757922882624769,0.758487657116451,0.805254358133087,1.98207285073937,0,1.20303013632163,1.22213968022181,1.81585164648799,0.916370788817006,0.241485421441774,1.09506264048059,1.71303508548983,0.840754550831793,0.717285490295749,0.191165581330869,1.26327418530499,1.89350122828096,0.403559279574861,1.42827021672828,0.812275003696858,0.0591643886321627,0.343314570240296,0.528547846580407,1.12522728096118,0.972910320702403,0.800747917744917
ENSG00000238419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038469,0,0,0,0,0,0,0,0,0,0
