names1,names2,names3
NC239SP,[90] 239_S3-B1_1_9588.d.PG.Quantity,239_S3-B1_1_9588.d.PG.Quantity
NC240SP,[91] 240_S3-B2_1_9589.d.PG.Quantity,240_S3-B2_1_9589.d.PG.Quantity
NC241SP,[92] 241_S3-B3_1_9590.d.PG.Quantity,241_S3-B3_1_9590.d.PG.Quantity
NC242SP,[93] 242_S3-B4_1_9591.d.PG.Quantity,242_S3-B4_1_9591.d.PG.Quantity
NC243SP,[94] 243_S3-B5_1_9592.d.PG.Quantity,243_S3-B5_1_9592.d.PG.Quantity
NC244SP,[95] 244_S3-B6_1_9593.d.PG.Quantity,244_S3-B6_1_9593.d.PG.Quantity
NC247SP,[96] 247_S3-B7_1_9594.d.PG.Quantity,247_S3-B7_1_9594.d.PG.Quantity
NC249SP,[97] 249_S3-B8_1_9595.d.PG.Quantity,249_S3-B8_1_9595.d.PG.Quantity
NC250SP,[98] 250_S3-B9_1_9596.d.PG.Quantity,250_S3-B9_1_9596.d.PG.Quantity
NC251SP,[99] 251_S3-B10_1_9597.d.PG.Quantity,251_S3-B10_1_9597.d.PG.Quantity
NC253SP,[100] 253_S3-B11_1_9598.d.PG.Quantity,253_S3-B11_1_9598.d.PG.Quantity
NC256SP,[101] 256_S3-B12_1_9599.d.PG.Quantity,256_S3-B12_1_9599.d.PG.Quantity
NC258SP,[102] 258_S3-C1_1_9601.d.PG.Quantity,258_S3-C1_1_9601.d.PG.Quantity
NC260SP,[104] 260_S3-C2_1_9602.d.PG.Quantity,260_S3-C2_1_9602.d.PG.Quantity
NC262SP,[105] 262_S3-C3_1_9603.d.PG.Quantity,262_S3-C3_1_9603.d.PG.Quantity
NC264SP,[106] 264_S3-C4_1_9604.d.PG.Quantity,264_S3-C4_1_9604.d.PG.Quantity
NC265SP,[107] 265_S3-C5_1_9605.d.PG.Quantity,265_S3-C5_1_9605.d.PG.Quantity
NC267SP,[108] 267_S3-C6_1_9606.d.PG.Quantity,267_S3-C6_1_9606.d.PG.Quantity
