pro_id,age_group,rho_age,rho_p_age
O14908,age3,0.010422448,0.945291151
O14908,age4,0.025323774,0.865596876
O14920,age1,0.190775681,0.170769598
O14920,age2,0.260925657,0.059401244
O14920,age3,-0.026086957,0.863132377
O14920,age4,-0.077590194,0.603131779
O14924,age1,0.202225448,0.146160848
O14924,age2,-0.103289792,0.460613094
O14924,age3,0.093802035,0.534030405
O14924,age4,-0.103376503,0.488045192
O14929,age1,0.064666989,0.644604419
O14929,age2,0.29132398,0.034685234
O14929,age3,0.048905335,0.746212798
O14929,age4,0.387719704,0.007442276
O14936,age1,0.206337687,0.138003167
O14936,age2,-0.279471053,0.043042765
O14936,age3,0.153376503,0.307771648
O14936,age4,0.181313599,0.221846144
O14939,age1,-0.017416546,0.901368735
O14939,age2,0.0228189,0.87093554
O14939,age3,0.195559667,0.192164796
O14939,age4,-0.087650324,0.556838268
O14949,age1,0.177229479,0.203645982
O14949,age2,0.077648766,0.579497149
O14949,age3,0.030403947,0.840704474
O14949,age4,0.086956522,0.559975989
O14964,age1,-0.157313337,0.259782736
O14964,age2,0.075310434,0.590999765
O14964,age3,-0.135368486,0.368532746
O14964,age4,0.033186864,0.824355182
O14972,age1,-0.172069021,0.217284337
O14972,age2,0.111756168,0.424514331
O14972,age3,-0.154116559,0.30542149
O14972,age4,-0.21947271,0.138019537
O14974,age1,-0.074181584,0.596589248
O14974,age2,0.294226738,0.032859171
O14974,age3,-0.229972248,0.124011766
O14974,age4,0.101295097,0.496885948
O14976,age1,0.320270924,0.019787012
O14976,age2,0.11369134,0.416496411
O14976,age3,0.289670059,0.051228916
O14976,age4,0.016535615,0.912111588
O14979,age1,-0.087566522,0.531889885
O14979,age2,-0.350266086,0.010484572
O14979,age3,-0.17039778,0.25665492
O14979,age4,-0.087881591,0.55579422
O14980,age1,-0.007256894,0.958952281
O14980,age2,-0.15481374,0.267503855
O14980,age3,-0.175208141,0.243316077
O14980,age4,0.022779833,0.879022153
O14981,age1,-0.141831963,0.310067747
O14981,age2,0.219077568,0.114902828
O14981,age3,-0.185938945,0.215292444
O14981,age4,-0.112858464,0.448839444
O15013,age1,0.313900984,0.022483565
O15013,age2,0.213110789,0.12532147
O15013,age3,0.144372495,0.337295836
O15013,age4,0.054000925,0.717716641
O15018,age1,0.223431705,0.107730103
O15018,age2,0.046444122,0.740583856
O15018,age3,0.03533765,0.815227024
O15018,age4,-0.081290472,0.585908504
O15020,age1,-0.151104661,0.279242613
O15020,age2,0.290275762,0.035365113
O15020,age3,-0.038544558,0.798766474
O15020,age4,-0.078052729,0.600966763
O15027,age1,-0.046121593,0.742324046
O15027,age2,0.045799065,0.744065524
O15027,age3,0.285969781,0.054377321
O15027,age4,0.284343201,0.053084542
O15031,age1,-0.202386712,0.145834292
O15031,age2,0.093694565,0.503475957
O15031,age3,0.03916127,0.795610714
O15031,age4,0.161655874,0.27671046
O15037,age1,0.231091759,0.095958119
O15037,age2,-0.107402032,0.442873626
O15037,age3,0.250693802,0.092942338
O15037,age4,-0.070074006,0.638780789
O15042,age1,-0.030720851,0.826767766
O15042,age2,0.116594098,0.404634836
O15042,age3,0.099722479,0.508430768
O15042,age4,0.051688252,0.729344624
O15047,age1,-0.118126109,0.39845506
O15047,age2,-0.067247218,0.63142826
O15047,age3,0.087758249,0.560801204
O15047,age4,0.116443108,0.434485086
O15061,age1,0.275842606,0.045911044
O15061,age2,0.456781164,0.000667095
O15061,age3,0.213197656,0.154488061
O15061,age4,0.540703053,0.000112195
O15067,age1,0.131027254,0.348653312
O15067,age2,0.223189808,0.108119272
O15067,age3,0.063336417,0.674935762
O15067,age4,0.078977798,0.596647032
O15075,age1,0.568779229,1.28E-05
O15075,age2,0.131107886,0.348354756
O15075,age3,0.189885908,0.205578603
